DateTime,V L1,A L1,W L1,S L1,Q L1,PF L1,V L2,A L2,W L2,S L2,Q L2,PF L2,V L3,A L3,W L3,S L3,Q L3,PF L3,V Total,A Total,W Total,S Total,Q Total,PF Total,kWh
2017-06-08 15:15:01,235.93,398.9155,80606.28,94116.133915,48584.712489298654,0.8564554943661277,232.31,386.3024,77387.58,89741.910544,45439.772994931416,0.8623348837894115,235.74,366.388,70462.98,86372.30712,49951.4152627451,0.8158052314395559,234.66,1151.6059,228456.83999999997,270230.351579,144332.65455788016,0.8454151751092703,2929666.73
2017-06-08 15:20:01,235.94,392.4695,79452.86,92599.25383,47559.066934635826,0.8580291602118626,232.17,382.2302,76486.34,88742.385534,45000.56425945672,0.861891863056754,235.72,359.5334,69251.31,84749.21304799999,48853.71199345237,0.8171321893075002,234.61,1134.2331,225190.51,266090.852412,141751.81107585423,0.8462918133364756,2929685.62
2017-06-08 15:25:01,236.11,397.3149,80293.32,93810.02103900001,48510.85250451928,0.8559141028933289,232.24,389.6076,78163.51,90482.469024,45580.07135974033,0.8638525323537262,235.64,367.0075,70610.12,86481.6473,49932.817598321024,0.8164751968132318,234.66333333333333,1153.93,229066.95,270774.137363,144384.7841095948,0.8459705651020603,2929704.56
2017-06-08 15:30:01,236.46,371.4497,75129.17,87832.996062,45499.92321244519,0.8553638537727603,232.61,364.5767,73316.14,84804.18618700001,42620.342682101524,0.8645344445418301,235.87,340.4443,65539.57,80300.597041,46397.744011494324,0.8161778668536762,234.98000000000002,1076.4706999999999,213984.88,252937.77929,134862.8611721639,0.8459980972421702,2929723.12
2017-06-08 15:35:01,235.75,394.1149,79579.72,92912.58767499999,47956.40846838052,0.8565009541910814,231.91,383.2114,76573.67,88870.55577400001,45104.86388750936,0.8616314968787717,235.22,358.5102,68595.89,84328.769244,49050.43524083858,0.8134340227535173,234.29333333333332,1135.8365,224749.28000000003,266111.912693,142489.68810622205,0.8445667754050606,2929741.06
2017-06-08 15:40:01,234.82,368.1275,73565.22,86443.69954999999,45394.620807340914,0.8510188756723567,230.77,367.0761,73225.67,84710.151597,42588.86047592519,0.8644261475102032,233.96,339.1983,64155,79358.834268,46711.46059989873,0.8084166128668718,233.18333333333337,1074.4019,210945.89,250512.68541499999,135123.78416083026,0.8420567192058418,2929759.5
2017-06-08 15:45:01,235.64,374.5199,75127.95,88251.869236,46305.329633267305,0.8512901839970722,231.77,367.7532,73636.39,85234.159164,42924.86407854992,0.8639305030077835,235.03,344.1645,65474.7,80888.982435,47498.327752456076,0.8094390364301286,234.14666666666665,1086.4376,214239.03999999998,254375.01083500002,137143.28228967247,0.8422173203914508,2929776.97
2017-06-08 15:50:01,236.3,369.3697,74105.08,87282.06011,46115.02071168627,0.8490299141267599,232.66,352.6945,70272.72,82057.90237,42370.32174961681,0.8563796778906134,235.96,333.4017,63306.41,78669.465132,46703.13904939221,0.8047138733405366,234.97333333333336,1055.4659000000001,207684.21,248009.42761199997,135557.90313038838,0.8374044970778811,2929794.65
2017-06-08 15:55:01,236.25,347.8334,69975,82175.64074999999,43085.209848311744,0.8515297156353479,232.65,329.4615,65946.66,76649.217975,39065.85018943608,0.8603696390158767,235.84,314.0354,59586.85,74062.108736,43984.12506235162,0.8045524360155859,234.91333333333333,991.3303,195508.51,232886.967461,126541.54310249565,0.8394995741130963,2929811.72
2017-06-08 16:00:01,236.32,306.5983,62090.99,72455.310256,37342.74956551966,0.8569556845539594,232.98,285.3514,57506.18,66481.169172,33358.4339602998,0.8649995286818751,236.12,273.5701,52534.31,64595.37201200001,37586.012799877746,0.8132828771423531,235.14,865.5198,172131.47999999998,203531.85144,108609.24520317705,0.8457225676578849,2929826.97
